Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,236891420362376.84
496.57242,255150407368475.62
496.9938,247904593634011.1
497.41516,248293903700528.88
497.83652,250122018906072.88
498.25784,263522644680051.5
498.6792,250899699669750.03
499.10052,252122217354533.47
499.52188,278796692381277.75
499.94321,265565551708409.22
500.36453,268018302785258.38
500.78586,272997407861225.12
501.20718,269742563235604.34
501.62848,282573584955009.06
502.0498,283827129726901.7
502.4711,281919245706402.56
502.8924,284100621908106.9
503.31369,282601330447141.0
503.73499,286546385543376.4
504.15628,295454159664841.6
504.57758,296901092421251.7
504.99884,298484538265574.75
505.4201,307838587211349.4
505.8414,296743845132464.75
506.26266,310517863984423.5
506.68393,309608021747401.44
507.10516,328633120216173.25
507.52643,328080148635138.75
507.94766,334184647509694.1
508.3689,347039804449575.7
508.79013,349932095263271.1
509.21136,354665728950915.06
509.6326,356501282945596.0
510.05383,365971592302097.1
510.47504,380423335901053.9
510.89627,372333131504225.94
511.31747,391800849371796.5
511.73868,389639860915826.94
512.15985,396344967053950.9
512.58105,414596572634822.94
513.00226,417612910423350.06
513.4234,430753183775466.06
513.8446,442261920851652.8
514.26581,454123361300686.06
514.68695,457701155998051.4
515.10809,466256277884061.25
515.52924,483561219555500.9
515.95044,491633173262520.9
516.37158,500399551951700.2
516.79272,510782422727205.7
517.21387,526792078594358.75
517.63495,536899527711105.06
518.05609,550426623287923.94
518.47723,569916566798871.5
518.89832,580724027808026.4
519.31946,589119863036305.9
519.74054,618970456850940.9
520.16162,631920384417564.5
520.58276,647874942847720.4
521.00385,662721461770504.9
521.42493,681530687123426.4
521.84601,704484538819198.5
522.26709,724849011134154.0
522.68811,738571625074875.5
523.10919,758070762078903.2
523.53027,777448505198028.4
523.95129,809452901279467.6
524.37231,824095680373223.9
524.7934,848533804528889.2
525.21442,882410469245412.2
525.63544,901634728885070.8
526.05646,927960265097154.4
526.47748,956573970591016.4
526.8985,993513862034821.5
527.31946,1016973174395313.4
527.74048,1055432577177064.5
528.1615,1070046063489039.2
528.58246,1103208377715236.0
529.00342,1136780395728714.2
529.42444,1174365383568991.0
529.8454,1220153806230647.2
530.26636,1245759007236685.8
530.68732,1275744491601290.0
531.10828,1328328946317747.0
531.52917,1360978952209313.2
531.95013,1412876061718577.5
532.37109,1458436214603812.5
532.79199,1488275188399765.2
533.21289,1547749881401836.2
533.63385,1603370593680692.2
534.05475,1648219473077339.5
534.47565,1708432169835272.8
534.89655,1743850059000686.5
535.31744,1792741519387190.0
535.73834,1861405444577717.0
536.15918,1899463803535617.2
536.58008,1982036898495585.8
537.00092,2021598312567081.5
537.42175,2074471392452634.5
537.84265,2138956665609706.5
