Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,4322836137999.5776
496.57242,7872349846956.349
496.9938,7733592175757.711
497.41516,4590128056372.632
497.83652,-1168298177480.5952
498.25784,6873584231221.248
498.6792,7252651561463.239
499.10052,-4599244429353.016
499.52188,2805632014273.015
499.94321,4648171850205.528
500.36453,10071239905274.28
500.78586,16498717216838.309
501.20718,3565328441558.2144
501.62848,6292946216670.461
502.0498,14513887315580.2
502.4711,11851254361722.658
502.8924,-2100004596997.6218
503.31369,-3779954437518.957
503.73499,6339083537772.585
504.15628,2951590006641.7744
504.57758,-97987159214.93457
504.99884,-5653854741803.833
505.4201,9992869361099.586
505.8414,2513958935628.571
506.26266,4904432041872.282
506.68393,3830597237827.423
507.10516,16107597829621.018
507.52643,7130110445562.273
507.94766,6155285374930.608
508.3689,7846446137105.634
508.79013,12228809780705.71
509.21136,10052776953045.803
509.6326,-1028998717502.3763
510.05383,559732233956.8143
510.47504,10606079797681.621
510.89627,6759591793038.67
511.31747,5824316543280.599
511.73868,3769522014523.101
512.15985,10826089377862.547
512.58105,4210031421898.864
513.00226,182483246853.11343
513.4234,9651202172944.283
513.8446,15435131706996.709
514.26581,5525937570185.886
514.68695,7423159571170.927
515.10809,1081591984266.1387
515.52924,6931164167120.917
515.95044,13027560329507.588
516.37158,5282442935256.811
516.79272,10171038635965.318
517.21387,15661386120372.83
517.63495,8357104753244.558
518.05609,-531641941359.87494
518.47723,12998872819151.916
518.89832,13517537844915.266
519.31946,-20281031057977.9
519.74054,3784944488707.4023
520.16162,7471586128180.968
520.58276,9745781089049.596
521.00385,10957696127157.818
521.42493,6395647276000.788
521.84601,15729002355179.324
522.26709,15271921135140.494
522.68811,16381720801566.377
523.10919,8698459691094.702
523.53027,21622325231130.242
523.95129,20899737433935.26
524.37231,21335249144581.465
524.7934,15875849732009.686
525.21442,11720327956329.266
525.63544,17534438744082.436
526.05646,17012460196337.318
526.47748,12064584149546.438
526.8985,15807284106157.662
527.31946,21839516322144.395
527.74048,19137490066673.883
528.1615,10026505117024.322
528.58246,8790851767198.33
529.00342,18688468044171.4
529.42444,23166804511224.53
529.8454,14797128481895.424
530.26636,19232465288110.902
530.68732,25459279119954.906
531.10828,23261220480542.953
531.52917,20246973302564.805
531.95013,18095949558957.152
532.37109,22940131116265.875
