Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,60303564125094.1
496.57242,58665182421154.16
496.9938,61653915401179.53
497.41516,53160087722641.17
497.83652,53104462612754.33
498.25784,54565684050925.6
498.6792,59387654090242.47
499.10052,55399989717206.77
499.52188,62139553501306.03
499.94321,56294525741378.07
500.36453,53233696642164.05
500.78586,68454304974211.11
501.20718,58063920333948.06
501.62848,59985987323423.26
502.0498,64707747615295.06
502.4711,60963655911573.336
502.8924,53500117113987.03
503.31369,48840990232152.84
503.73499,57348896380786.35
504.15628,60999526803930.0
504.57758,48699618129822.48
504.99884,45425798442768.73
505.4201,62673724342430.4
505.8414,67683509805384.59
506.26266,63661451210185.32
506.68393,46733286301494.555
507.10516,72913090767219.4
507.52643,64075925870786.305
507.94766,61174066957002.66
508.3689,55775942420389.44
508.79013,66505911653530.3
509.21136,66611391212238.086
509.6326,61085105684459.24
510.05383,51495365524026.92
510.47504,62613085121401.14
510.89627,64169823459942.445
511.31747,67395662857961.23
511.73868,53141066448642.74
512.15985,71562285718074.47
512.58105,66719845794875.484
513.00226,60949404448939.88
513.4234,58271409346078.69
513.8446,63919604245445.2
514.26581,70387762164498.92
514.68695,68890541873915.555
515.10809,59757957130704.164
515.52924,66071097385282.51
515.95044,73762945038108.47
516.37158,65896237294051.055
516.79272,68520681337029.516
517.21387,70565222690088.94
517.63495,72724592427170.72
518.05609,61581858207518.85
518.47723,62076249789419.36
518.89832,72711984616766.42
519.31946,70983608702922.64
519.74054,70241527953221.09
520.16162,72430434936719.03
520.58276,69976464215968.73
521.00385,81875905462123.22
521.42493,74645088755516.05
521.84601,74712761187101.8
522.26709,76534141917246.94
522.68811,82170014446154.75
523.10919,73328015195928.34
523.53027,77458289583004.73
523.95129,89582691988610.47
524.37231,90197801261645.22
524.7934,85018211679614.7
525.21442,78482788685345.61
525.63544,81856315523117.52
526.05646,94523312009241.53
526.47748,76119714382390.11
526.8985,83813347046385.4
527.31946,94927937479918.45
527.74048,95948416107005.86
528.1615,91110416063394.94
528.58246,80684352358345.08
529.00342,97180033829691.27
529.42444,108953655802789.05
529.8454,94701622284130.7
530.26636,92507287788515.33
530.68732,99751714777161.2
531.10828,109859172381890.14
531.52917,109924554625512.78
531.95013,94220737367070.17
532.37109,103056801151103.52
532.79199,115350657571778.62
533.21289,108633800212665.3
533.63385,102466801896373.64
534.05475,116184395819286.27
534.47565,119549328229133.58
534.89655,119094747177521.81
535.31744,122715351769167.83
535.73834,132696489481162.05
536.15918,136359273140914.22
536.58008,136925882261387.92
537.00092,129143446061040.53
537.42175,132155103318139.77
537.84265,133738893094576.95
538.26349,142254866521672.28
538.68433,135803260253112.84
539.10516,144328237378668.25
539.526,157226936376098.22
539.94678,156631419710645.4
540.36761,149625332002074.22
540.78839,167872362691895.12
541.20923,167744530528110.75
541.63,165371276701495.2
542.05078,165253381496059.75
542.47156,177500597008573.9
542.89233,181685807565729.88
543.31311,176148680740245.47
543.73389,179104318198676.4
544.1546,198569154243501.78
544.57538,198965754429655.03
544.99609,203212151653953.6
545.41687,197400671273447.9
545.83759,210821458212253.28
546.2583,222052034815214.06
546.67902,225247089063041.3
547.09973,217731301338916.97
547.52039,227374384548917.88
547.9411,242035860529791.9
548.36176,244950373525109.25
548.78247,246411800136981.5
549.20313,259338690319211.0
549.62378,269313300519980.66
550.04443,276979503066088.38
550.46509,266662903606312.34
550.88574,291395532157807.7
551.3064,293023455577800.9
551.72699,300791663889561.2
552.14764,303864328076961.25
552.56824,311658688183759.25
552.98883,330501382578033.25
553.40942,332364784891093.1
553.83002,330855619585797.44
554.25061,344216199621707.25
554.6712,365144500571723.9
555.09174,358372677906638.8
555.51233,370470140510076.25
555.93286,380904769787693.4
556.35339,401534704885837.6
556.77399,402237403696108.94
557.19452,405360846935653.3
557.61505,426603773074524.06
558.03552,441639086474306.9
558.45605,439507705825774.56
558.87653,452221166198136.75
559.29706,473921923436222.25
559.71753,487851749054399.1
560.138,491805736013594.44
560.55847,505984640092681.75
560.97894,535653789317221.44
561.39941,547349143869716.8
561.81989,552155868610568.5
562.2403,558141507314190.7
562.66071,585265668594749.4
563.08118,619235989768383.8
563.50159,617541870641680.1
563.922,623680351522343.1
564.34241,660177865585314.4
564.76276,688058085355773.0
565.18317,691533849646813.2
565.60358,705415474184266.5
566.02393,723658177011014.2
566.44427,752262447868172.1
566.86462,770502666764055.0
567.28497,784755325433738.0
567.70532,813422740239486.0
568.12567,831360809365170.5
568.54596,855786387543921.5
568.96631,870928067460714.4
569.3866,906475452916434.8
569.80688,936087349378815.9
570.22717,954125338488449.9
570.64746,973909844132800.4
571.06775,1016936542058524.6
571.48798,1041886750304559.5
571.90826,1047778021254821.6
572.32849,1097595192107372.4
572.74872,1117570037019187.1
573.16901,1164964278492070.0
573.58923,1160952810279114.2
574.0094,1199855274323602.8
574.42963,1232736255048123.0
574.84985,1266845203844459.2
575.27002,1293810164210519.0
575.69019,1315906099065772.8
576.11035,1353615220750316.2
576.53052,1381755777426458.8
576.95068,1411673972462890.8
577.37085,1439251708396726.2
577.79095,1495158959322195.0
578.21112,1518708846753705.0
578.63123,1561468236464665.2
579.05133,1579714450101674.2
579.47144,1643445923074416.0
579.89154,1675624377740787.8
580.31165,1700240287900304.8
580.73169,1751084281547167.2
581.15179,1799411660909643.2
581.57184,1853118846409980.5
581.99188,1885288084917183.0
582.41193,1930494625439496.5
582.83197,1960464114760519.0
583.25195,2021438482328894.8
583.672,2056403806830169.5
584.09198,2107252747706368.5
584.51202,2159853909846884.5
584.93201,2222230771978793.0
585.35199,2240247092661480.5
585.77197,2305325721645167.0
586.19189,2353532382724024.5
586.61188,2420696220740335.0
587.0318,2481754135359988.5
587.45172,2518255650603503.0
587.87164,2597896787294971.0
588.29156,2639074371179681.0
588.71149,2711520961731513.0
589.13141,2753101522519001.0
589.55127,2827096459295688.0
589.97113,2876763953777350.0
590.39099,2949016412372787.5
590.81085,3010547462331782.5
591.23071,3079137054286219.0
591.65057,3122160459679265.5
592.07037,3201335229206540.0
592.49023,3265801326802711.0
592.91003,3313158957808745.5
593.32983,3377376310825107.5
593.74963,3433277763991501.5
594.16943,3507767223742268.5
594.58917,3558404192920467.5
595.00897,3628137078874771.0
595.42871,3710623970355895.0
595.84845,3774776358497429.0
596.26819,3835682120798116.5
596.68793,3891207705622413.5
597.10767,3962068008974046.5
597.52734,4026091803707659.0
597.94708,4133885011745115.0
598.36676,4197849603503184.5
598.78644,4264871932185146.5
599.20612,4338671944682310.5
599.62573,4389358228338526.5
600.04541,4512888795343513.0
600.46503,4565124321233662.0
600.88464,4630096069944801.0
601.30426,4700766892675310.0
601.72388,4761010420422823.0
602.14349,4827633622415975.0
602.56311,4930131229454771.0
602.98267,4991788409171495.0
603.40222,5094013260027465.0
603.82178,5168645905455363.0
604.24133,5257557070188820.0
604.66089,5337239960240257.0
605.08038,5444077546121301.0
605.49994,5500944212941555.0
605.91943,5589241238888302.0
606.33893,5708738897727383.0
606.75842,5806319288266395.0
607.17792,5864455540903704.0
607.59735,5932970744707798.0
608.01685,6020413743257407.0
608.43628,6131307493938655.0
608.85571,6211277131867107.0
609.27515,6291791846609680.0
609.69458,6434849292045001.0
610.11395,6497529098031075.0
610.53339,6561682038723397.0
610.95276,6672189805876246.0
611.37213,6761693571368282.0
611.7915,6876959904370709.0
612.21082,6960830037731717.0
612.63019,7041521510995434.0
613.0495,7130879066649215.0
613.46881,7233925641554520.0
613.88812,7321600526220628.0
614.30743,7405435350368034.0
614.72675,7515521169814169.0
615.146,7570442977149263.0
615.56531,7703695345114719.0
615.98456,7776467841803735.0
616.40381,7870733084852906.0
616.823,7997457270887503.0
617.24225,8095413937563074.0
617.66144,8177014656373005.0
618.08069,8285538843646058.0
618.49988,8342931917882920.0
618.91907,8487701115480185.0
619.3382,8549860180036823.0
619.75739,8662156618062314.0
620.17651,8740618697787262.0
620.59564,8873177789236901.0
621.01477,8930635232857892.0
621.4339,9053783574813648.0
621.85303,9123126031774654.0
622.27209,9185055513714002.0
622.69116,9256153180331038.0
623.11023,9356111395504126.0
623.5293,9419710399180702.0
623.94836,9526184410705944.0
624.36743,9671955808312670.0
624.78644,9690946854941692.0
625.20544,9800227156326912.0
625.62445,9875172068108998.0
626.04346,9987630384496860.0
626.4624,1.0089102657477316e+16
626.88141,1.0149076507143452e+16
627.30035,1.0256021753567986e+16
627.7193,1.0305593884134096e+16
628.13824,1.0388571028217908e+16
628.55719,1.0512629474218506e+16
628.97607,1.0601340472349956e+16
629.39496,1.0655725704429648e+16
629.81384,1.0661148300141822e+16
630.23273,1.0773861448143264e+16
630.65161,1.086081494578454e+16
