Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,168374467575083.56
496.57242,152378497722593.44
496.9938,155638542537123.94
497.41516,161721953614059.0
497.83652,158676134286909.94
498.25784,152805064832533.9
498.6792,153356791712679.22
499.10052,156687895445458.4
499.52188,158258428064363.03
499.94321,149051377329923.97
500.36453,150040921037759.7
500.78586,159555917432405.22
501.20718,149540061491641.7
501.62848,138850813296857.9
502.0498,161164623733421.8
502.4711,159690630806262.94
502.8924,148100324197784.66
503.31369,136177832235880.33
503.73499,145699873188491.75
504.15628,150531090338730.47
504.57758,140905534951075.9
504.99884,134620231007432.64
505.4201,150669185609588.9
505.8414,150257391767953.8
506.26266,145978977246316.2
506.68393,129091126914784.16
507.10516,144491824317783.8
507.52643,143933162861083.78
507.94766,137120818813838.8
508.3689,130553519461962.39
508.79013,136116059636008.95
509.21136,150227947176824.7
509.6326,143966275112377.9
510.05383,133962581326997.56
510.47504,138623323671452.77
510.89627,140099484696815.19
511.31747,136085618281095.89
511.73868,130738056211020.72
512.15985,138720738468882.8
512.58105,141310619900257.53
513.00226,132117870721654.12
513.4234,138121449965627.12
513.8446,141549237242399.25
514.26581,141319059171966.94
514.68695,139229505127571.8
515.10809,133937140718290.17
515.52924,143934175366575.9
515.95044,143033627893628.12
516.37158,142357360458615.75
516.79272,134453993196488.89
517.21387,137571039443729.5
517.63495,142782023762880.4
518.05609,136188943978354.62
518.47723,132995270204112.14
518.89832,139946274159122.75
519.31946,138880973549196.48
519.74054,142419539133222.75
520.16162,140377918196529.47
520.58276,139513929283782.06
521.00385,152794114797088.62
521.42493,146223771282812.53
521.84601,139376437536172.34
522.26709,143905131153409.56
522.68811,156236305304300.6
523.10919,144481415469083.0
523.53027,147448627479755.66
523.95129,145777836624253.8
524.37231,160274554549538.8
524.7934,151904988419393.22
525.21442,145245249414361.94
525.63544,150084379151081.84
526.05646,161271178799973.16
526.47748,156058433819312.9
526.8985,152601088870983.6
527.31946,158184225791468.16
527.74048,172324399191277.06
528.1615,159988146867301.16
528.58246,146833335953104.78
529.00342,163154672180975.4
529.42444,173228474333930.8
529.8454,168252055032375.62
530.26636,159081206093514.62
530.68732,171350506568433.7
531.10828,179294351119690.66
531.52917,173446174729267.6
531.95013,172781518385042.78
532.37109,177959805023153.5
532.79199,187911342093980.97
533.21289,185535780091862.53
533.63385,179012460358859.9
534.05475,192047505430533.03
534.47565,196433564810579.25
534.89655,203453526428266.4
535.31744,203015958107828.4
535.73834,202220748560144.66
536.15918,220192397699486.47
536.58008,214424541510853.7
537.00092,207514771190825.2
537.42175,223260718449648.97
537.84265,225148777306792.66
538.26349,215028367056510.72
538.68433,219480889740708.8
539.10516,234468567669656.88
539.526,239119561305251.5
539.94678,238314618743870.62
540.36761,235950955825749.3
540.78839,255768610029548.94
541.20923,256915351841205.06
541.63,260817576653818.0
542.05078,261873649364000.9
542.47156,270296738412668.34
542.89233,282927946313331.5
543.31311,287946893601687.2
543.73389,283874771448452.7
544.1546,294077999823889.6
544.57538,320865497126324.4
544.99609,317031526346678.4
545.41687,315669793628602.6
545.83759,341995444005155.9
546.2583,346774399782741.8
546.67902,350555781684870.2
547.09973,353031468522761.9
547.52039,366625137572096.94
547.9411,382130297690854.56
548.36176,391783370540160.7
548.78247,396245243583721.44
549.20313,428547118921933.75
549.62378,433484909064403.4
550.04443,442105193205673.6
550.46509,440927196746596.75
550.88574,469052808215309.75
551.3064,477582968111647.5
551.72699,483826591277677.1
552.14764,513995969422386.56
552.56824,518807035272582.4
552.98883,548117558924710.44
553.40942,552300838615298.75
553.83002,572839814110175.8
554.25061,593707221865378.9
554.6712,626203778500754.6
555.09174,634524979580511.9
555.51233,645724808191222.9
555.93286,672656230969188.4
556.35339,689295629087789.6
556.77399,715612318207470.8
557.19452,738485819779996.8
557.61505,760493108534502.4
558.03552,802500743371717.2
558.45605,801012617370505.2
558.87653,829266821188797.2
559.29706,873259686247261.0
559.71753,895755106321119.4
560.138,920536015177861.9
560.55847,952314958772766.4
560.97894,1003915667350799.8
561.39941,1028049360071135.0
561.81989,1055808763303314.5
562.2403,1105948591814831.8
562.66071,1137763741436138.0
563.08118,1172875647732555.8
563.50159,1238064635268758.8
563.922,1251991583406029.5
564.34241,1301805826267077.5
564.76276,1352438561228721.8
565.18317,1391021125622378.5
565.60358,1427156940898408.5
566.02393,1480710862820315.5
566.44427,1535827758494399.0
566.86462,1584970185886987.5
567.28497,1625179982514417.0
567.70532,1690064864435408.8
568.12567,1758119609693522.0
568.54596,1808706718891689.8
568.96631,1850763490109974.2
569.3866,1930423231937375.2
569.80688,1987190819505440.0
570.22717,2077390701388169.2
570.64746,2124683240931705.5
571.06775,2203334872146368.2
571.48798,2278820816790406.5
571.90826,2346138749043982.0
572.32849,2403403792547613.5
572.74872,2505271528051578.0
573.16901,2582091816350355.0
573.58923,2654652198454220.0
574.0094,2731084082184637.5
574.42963,2813494138151591.5
574.84985,2919777358709269.5
575.27002,3001293188235548.5
575.69019,3078492865621647.5
576.11035,3206678961200190.5
576.53052,3283070315435889.0
576.95068,3391936544115634.5
577.37085,3486973630135026.0
577.79095,3600348085152546.5
578.21112,3713451639185216.0
578.63123,3827041753313041.0
579.05133,3918369105726897.5
579.47144,4041216924376119.5
579.89154,4177597719876051.0
580.31165,4285093656600651.0
580.73169,4380365621759015.5
581.15179,4530803734351470.0
581.57184,4686787970577273.0
581.99188,4773343105825330.0
582.41193,4909251647371614.0
582.83197,5064587601816591.0
583.25195,5225285580053547.0
583.672,5332057612005802.0
584.09198,5504989127675461.0
584.51202,5656045238780852.0
584.93201,5818184714480690.0
585.35199,5943035506676821.0
585.77197,6090937457014268.0
586.19189,6285556428061405.0
586.61188,6469662337841540.0
587.0318,6600448349552330.0
587.45172,6790709582284122.0
587.87164,6970659332700831.0
588.29156,7163225290897346.0
588.71149,7338546349460447.0
589.13141,7506069744223749.0
589.55127,7691461728188712.0
589.97113,7904147820792880.0
590.39099,8087114171502197.0
590.81085,8289858694910769.0
591.23071,8450248569726855.0
591.65057,8641834417660676.0
592.07037,8818550404621244.0
592.49023,9052890570444472.0
592.91003,9230994931541870.0
593.32983,9457681989705134.0
593.74963,9688674326012658.0
594.16943,9919904147538290.0
594.58917,1.0118589330960024e+16
595.00897,1.0349786298679316e+16
595.42871,1.059027701568578e+16
595.84845,1.0818164406891328e+16
596.26819,1.1028730442208648e+16
596.68793,1.1252765976617928e+16
597.10767,1.149596848519526e+16
597.52734,1.1745481777214866e+16
597.94708,1.2007870891396226e+16
598.36676,1.2253983606163392e+16
598.78644,1.2463872273819068e+16
599.20612,1.2740892733423296e+16
599.62573,1.2972859443941218e+16
600.04541,1.3221777217832642e+16
600.46503,1.3516162207157072e+16
600.88464,1.3754231968666004e+16
601.30426,1.3992633244370472e+16
601.72388,1.4211334122920804e+16
602.14349,1.4484820021937816e+16
602.56311,1.475607574831404e+16
602.98267,1.5026697330952068e+16
603.40222,1.5306101107291168e+16
603.82178,1.5519178862991402e+16
604.24133,1.5774173008394556e+16
604.66089,1.6075233091476506e+16
605.08038,1.6391892468344964e+16
605.49994,1.6630509572852342e+16
605.91943,1.6913702580245494e+16
606.33893,1.7304221292681106e+16
606.75842,1.7583995767597272e+16
607.17792,1.7906500141409274e+16
607.59735,1.8159831834419484e+16
608.01685,1.8466038862884748e+16
608.43628,1.875820002698282e+16
608.85571,1.904581057387519e+16
609.27515,1.9323862457724384e+16
609.69458,1.963674231201242e+16
610.11395,1.9939501176928684e+16
610.53339,2.023110434927536e+16
610.95276,2.0599743805327724e+16
611.37213,2.0872774666871164e+16
611.7915,2.1232059775513e+16
612.21082,2.147758974427142e+16
612.63019,2.178286314768055e+16
613.0495,2.213943890993631e+16
613.46881,2.2465270902823092e+16
613.88812,2.2850881599440916e+16
614.30743,2.30994257129833e+16
614.72675,2.3475126175066984e+16
615.146,2.377635626327779e+16
615.56531,2.4060012297982704e+16
615.98456,2.4386773932784572e+16
616.40381,2.4724633427677056e+16
616.823,2.5062132420241828e+16
617.24225,2.538029311106866e+16
617.66144,2.571756934318471e+16
618.08069,2.605877983510783e+16
618.49988,2.6395527314065764e+16
618.91907,2.6699579599128264e+16
619.3382,2.69788385258469e+16
619.75739,2.738374690387992e+16
620.17651,2.7617915341140904e+16
620.59564,2.7992948512444684e+16
621.01477,2.819969128744124e+16
621.4339,2.8469317562002056e+16
621.85303,2.8781967486931944e+16
622.27209,2.902289441477031e+16
622.69116,2.9303844203565896e+16
623.11023,2.9689584579421956e+16
623.5293,2.9947416252728076e+16
623.94836,3.0259405824889724e+16
624.36743,3.056873587077023e+16
624.78644,3.0849135390922372e+16
625.20544,3.107672554553675e+16
625.62445,3.1426241449074228e+16
626.04346,3.1807583775747344e+16
626.4624,3.209862281020385e+16
626.88141,3.2408413054564828e+16
627.30035,3.268149096852993e+16
627.7193,3.2946546226547464e+16
628.13824,3.323805124319054e+16
628.55719,3.3514753873455416e+16
628.97607,3.37725816145205e+16
629.39496,3.4170399672561132e+16
629.81384,3.4347520020456916e+16
630.23273,3.4624716664675024e+16
630.65161,3.485567460190243e+16
631.0705,3.5112878445297788e+16
631.48932,3.5399314415219132e+16
631.90814,3.5678493047602004e+16
632.32697,3.5966762133606428e+16
632.74579,3.622831087606334e+16
633.16455,3.6517072085570376e+16
633.58337,3.682058699728928e+16
