Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,53603168111194.766
496.57242,45077290904489.77
496.9938,40171714912963.664
497.41516,47288993697048.27
497.83652,44076703968586.09
498.25784,43990939079815.984
498.6792,42990354907803.836
499.10052,42647539254000.69
499.52188,55489166504510.734
499.94321,46068547670925.91
500.36453,42032011441399.8
500.78586,59538849086851.28
501.20718,54702324946193.18
501.62848,56027521154872.484
502.0498,50395442067986.805
502.4711,48108057959874.18
502.8924,59700130686075.25
503.31369,49736242598933.65
503.73499,53386969169678.484
504.15628,63655957809907.6
504.57758,55362744956438.02
504.99884,53614139792967.38
505.4201,56464562797669.5
505.8414,67490128348797.78
506.26266,78759408672419.61
506.68393,64928623181174.81
507.10516,71959978469608.69
507.52643,73392603519654.34
507.94766,70549040066512.36
508.3689,64567743513772.86
508.79013,75254214035112.06
509.21136,78731094267779.28
509.6326,77736175840406.78
510.05383,70806127595537.02
510.47504,78243097454826.69
510.89627,78985367115917.61
511.31747,89953333279555.92
511.73868,84492456862115.38
512.15985,85966489381840.73
512.58105,96373110592597.9
513.00226,90420448815717.7
513.4234,88954948329873.25
513.8446,91612046425645.19
514.26581,101278659073242.97
514.68695,102385286280418.52
515.10809,93737971969732.02
515.52924,98566555363602.64
515.95044,116169900041746.98
516.37158,106544188016196.69
516.79272,106617466403320.67
517.21387,114879826598871.14
517.63495,122333788728345.84
518.05609,119796650786425.14
518.47723,114690735009796.16
518.89832,115826745847607.27
519.31946,117100909760846.31
519.74054,131152727631954.17
520.16162,136334471585984.48
520.58276,123534360290925.95
521.00385,143239003774207.0
521.42493,148414061445826.5
521.84601,137366620568566.1
522.26709,153155551955266.1
522.68811,160767419568563.62
523.10919,159007843153211.16
523.53027,163513407269952.8
523.95129,167804945786990.56
524.37231,166258831748628.72
524.7934,179492530576655.97
525.21442,167557281153448.0
525.63544,178816553528761.5
526.05646,193473335600183.06
526.47748,190342683740685.88
526.8985,198980702676962.66
527.31946,199949037881624.78
527.74048,207119835676138.7
528.1615,213608152493126.88
528.58246,207585955096713.06
529.00342,210614688702452.56
529.42444,225745704109375.88
529.8454,237363349236051.88
530.26636,230354459808278.53
530.68732,240690113181826.25
531.10828,246638633634521.03
531.52917,257127871254460.3
531.95013,254735289945319.9
532.37109,261552252499849.6
532.79199,274446034042109.84
533.21289,277696777399175.53
533.63385,278260865251697.16
534.05475,288766452735593.4
534.47565,304489439779519.4
534.89655,307922602899776.75
535.31744,323118491883330.5
535.73834,326302842986464.06
536.15918,324114165176139.8
536.58008,343531052323304.44
537.00092,355231266618171.3
537.42175,369185586792418.0
537.84265,366851410313797.5
538.26349,372444379522941.0
538.68433,376203557365720.6
539.10516,380179590556144.6
539.526,407909839873664.3
539.94678,412560597231236.94
540.36761,414466481614967.5
540.78839,423640972721444.06
541.20923,442752512780668.25
541.63,448520011158069.9
542.05078,449258411289704.94
542.47156,462000826452481.25
542.89233,486443552895946.6
543.31311,493782590190020.75
543.73389,497959731976023.2
544.1546,521308388949556.3
544.57538,518631113442228.75
544.99609,540727737150903.94
545.41687,545956303413549.0
545.83759,557446572304217.5
546.2583,582437179985627.0
546.67902,594144909202816.8
