Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,84295304690991.77
496.57242,84870401774721.19
496.9938,75617345718519.84
497.41516,88706893368503.64
497.83652,85816811582210.98
498.25784,84174969970032.5
498.6792,82512050373168.73
499.10052,86653946180310.22
499.52188,89468487566261.69
499.94321,80981482901358.55
500.36453,83344648603851.42
500.78586,93561048565052.0
501.20718,84956683435987.17
501.62848,79067824238488.53
502.0498,85873833283849.52
502.4711,91194397969865.88
502.8924,88100192854995.47
503.31369,80274295554678.9
503.73499,78446158779935.73
504.15628,92089608207223.34
504.57758,84464931243273.6
504.99884,78569084860239.47
505.4201,90808987592128.27
505.8414,94563532270951.62
506.26266,101935254203620.0
506.68393,76420414894657.08
507.10516,89687867205167.92
507.52643,102578522276822.58
507.94766,98768656093117.3
508.3689,93779211662756.48
508.79013,101028782342137.95
509.21136,104661621735448.84
509.6326,93545337954761.47
510.05383,89837023550068.7
510.47504,99641328625587.86
510.89627,104819971366024.31
511.31747,111031812198095.22
511.73868,90284649225894.77
512.15985,109545345060744.75
512.58105,108820160013864.12
513.00226,112227196814664.77
513.4234,109623088832310.53
513.8446,112040897214317.3
514.26581,115682332411924.22
514.68695,117412658095227.95
515.10809,105455218465948.53
515.52924,114229186078914.84
515.95044,120662162224335.8
516.37158,122660115615285.25
516.79272,119108215605383.34
517.21387,127337747376440.44
517.63495,123934085383222.48
518.05609,121923218551864.66
518.47723,127689607828948.1
518.89832,133850129640827.62
519.31946,110046638088506.16
519.74054,129480310299734.62
520.16162,133082134094893.95
520.58276,136879934394849.73
521.00385,154722669315468.4
521.42493,148939731084949.84
521.84601,143396071471384.84
522.26709,159089784167777.84
522.68811,169568237658766.84
523.10919,152744952175622.97
523.53027,161255654434573.75
523.95129,169452642929085.06
524.37231,171375822397125.9
524.7934,167173565210834.22
525.21442,161045987844376.2
525.63544,181941503007904.88
526.05646,195296099192647.78
526.47748,179319646424193.8
526.8985,181870620430187.62
527.31946,197251727100802.16
527.74048,201639554429773.0
528.1615,193119207253990.22
528.58246,195487654149776.72
529.00342,204095455663788.12
529.42444,220345922606759.62
529.8454,215515824242194.5
530.26636,220433640609886.5
530.68732,227743244277821.9
531.10828,238362169418597.5
531.52917,237836763644291.28
531.95013,243512321228466.66
532.37109,245129204087068.34
532.79199,256045477680020.25
533.21289,250560002086674.16
533.63385,262429831342410.25
534.05475,275992252148132.56
534.47565,284201753342965.75
534.89655,278845376615206.4
535.31744,282619812981511.44
535.73834,296805065980487.75
536.15918,308112821899399.94
536.58008,316076370347036.4
537.00092,317998377935250.3
537.42175,321727528720110.9
537.84265,326946148361305.56
538.26349,338050237008261.44
538.68433,346121103789601.4
539.10516,348202675687816.94
539.526,374427923675022.06
539.94678,366710936885948.75
540.36761,364447638640210.75
540.78839,388086467187211.94
541.20923,405447231980117.75
541.63,399632881914197.2
542.05078,405340107713368.06
542.47156,433077353807049.2
542.89233,443385563496499.75
543.31311,454914907591223.3
543.73389,452947876038107.9
544.1546,476171234614170.8
544.57538,474226003233456.2
544.99609,491103175443759.7
545.41687,502365439344922.1
545.83759,518265845828821.06
546.2583,536811222176641.3
546.67902,552489625608966.6
547.09973,563907789890363.1
547.52039,576785868149514.8
547.9411,588670994827329.5
548.36176,615034708875545.6
548.78247,612861593252436.9
549.20313,631682908398923.9
549.62378,648473576220283.8
550.04443,674377429543098.4
550.46509,683441436635189.1
550.88574,698836557767317.0
551.3064,730295414936104.8
551.72699,737088905724263.6
552.14764,750713609186211.1
552.56824,775146731834429.1
552.98883,798945259452320.9
553.40942,815002236119211.0
