Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,207171921913629.75
496.57242,192602970228274.5
496.9938,191191584345121.2
497.41516,195667551798396.16
497.83652,203177673956398.06
498.25784,200814407001371.53
498.6792,190986491118531.97
499.10052,183029022631752.94
499.52188,200966382059407.8
499.94321,192640900014073.56
500.36453,193100610020514.0
500.78586,202083666780156.12
501.20718,198537860931341.72
501.62848,187265899512209.66
502.0498,192611379583845.56
502.4711,195445262609426.22
502.8924,201000439998343.8
503.31369,184620932527241.7
503.73499,188884879789567.47
504.15628,194017849769919.28
504.57758,191172947628337.3
504.99884,186674686733695.53
505.4201,191416808247082.34
505.8414,195992106250735.1
506.26266,202812689731542.06
506.68393,185400906310847.25
507.10516,198437980362550.06
507.52643,197076252715341.25
507.94766,192518387188214.28
508.3689,193608695045690.8
508.79013,192838923464974.7
509.21136,204813586519998.62
509.6326,198129025788184.8
510.05383,190682114367954.75
510.47504,194909975229324.53
510.89627,200287630799214.3
511.31747,211986632281625.62
511.73868,192429501863337.84
512.15985,196245806603796.5
512.58105,211874407428171.1
513.00226,203468820241221.47
513.4234,200307969627145.5
513.8446,203834533424750.66
514.26581,209623271105084.28
514.68695,212827416485644.5
515.10809,197931333120703.38
515.52924,213245817037785.1
515.95044,216257501469825.94
516.37158,226160183973876.3
516.79272,219391087770515.1
517.21387,217212747271761.78
517.63495,224219342422157.16
518.05609,224530113234320.53
518.47723,229558325432097.8
518.89832,224497148130259.4
519.31946,219035135426161.3
519.74054,235106668124127.28
520.16162,226960416270156.0
520.58276,225206563003713.62
521.00385,232390819464763.03
521.42493,245137275044523.38
521.84601,239430369184396.38
522.26709,245572491853059.12
522.68811,260016249318479.06
523.10919,259475052585354.97
523.53027,252694644267425.75
523.95129,262590891908530.97
524.37231,258711578041815.06
524.7934,273793342919249.03
525.21442,262361711733533.62
525.63544,269092871815126.5
526.05646,280011207109103.0
526.47748,266375602553654.75
526.8985,282620343304599.06
527.31946,284000722213064.94
527.74048,300632571229204.25
528.1615,301928584523958.56
528.58246,298540807539507.6
529.00342,294147794704539.56
529.42444,320590253405328.94
529.8454,312828704493718.5
530.26636,305543826364513.0
530.68732,318805785293906.3
531.10828,337505498657765.56
531.52917,341417845947541.25
531.95013,338255057140506.75
532.37109,340278611557943.9
532.79199,368011127241791.8
533.21289,357546522008804.2
533.63385,361330301424054.44
534.05475,372971897424365.5
534.47565,383028037057508.06
534.89655,397853066229001.94
535.31744,386000311597552.75
535.73834,402353158925175.94
536.15918,417948129282674.56
536.58008,420682183952817.44
537.00092,435164810853533.06
537.42175,441931515224421.5
537.84265,457482233012840.9
538.26349,456220540257689.6
538.68433,466105142765617.1
539.10516,482678566323270.75
539.526,488680648022966.1
