Sample,A,PLQY,PL_peak (nm),Eg (eV),Vsq (V),delta V (V),QFLS/q (V),fs-inb adjustment factor,fs-absolute intensity factor
glass-per-c60-spiro_1,0.687122587,0.025640284,805.35614,1.53949529,1.26780961,-0.09412709,1.17368252,2.951049384,6094.904015
glass-per-c60-spiro_2,0.700843181,0.024391985,804.52771,1.541080523,1.269287048,-0.09540941,1.173877638,10.75783369,21726.69751
glass-per-c60-spiro_3,0.644261756,0.019225738,804.94189,1.540287566,1.268548011,-0.101524364,1.167023647,1.630695037,3587.32087
glass-per-c60-spiro_4,0.648003477,0.008031606,806.18451,1.537913429,1.266335316,-0.123950528,1.142384788,0.783958632,1721.445408
glass-per-c60-spiro_5,0.645061351,0.010304641,805.35614,1.53949529,1.26780961,-0.117547685,1.150261926,0.566361125,1245.997101
glass-per-c60_1,0.713995159,0.064111987,808.25525,1.533973314,1.262663129,-0.070580699,1.19208243,1.474351665,2953.998389
glass-per-c60_2,0.649480589,0.034244113,808.66931,1.533187879,1.261931103,-0.086692944,1.175238159,1.079660645,2378.074919
glass-per-c60_3,0.645019813,0.093329848,808.25525,1.533973314,1.262663129,-0.060932914,1.201730215,1.91853632,4255.018051
glass-per-c60_4,0.649542721,0.072222609,808.66931,1.533187879,1.261931103,-0.067520153,1.194410951,1.393009901,3067.968666
glass-per-c60_5,0.667846426,0.042655173,808.66931,1.533187879,1.261931103,-0.081049983,1.18088112,1.416014898,3033.162329
glass-per-spiro_1,0.671527577,0.003081684,804.52771,1.541080523,1.269287048,-0.148561667,1.120725381,1.042818613,2198.035317
glass-per-spiro_2,0.707967727,0.012382402,805.35614,1.53949529,1.26780961,-0.112828422,1.154981188,1.320852524,2647.67996
glass-per-spiro_3,0.740937883,0.012428774,804.52771,1.541080523,1.269287048,-0.112732384,1.156554664,0.689655369,1317.467972
glass-per-spiro_4,0.647784496,0.014893401,804.94189,1.540287566,1.268548011,-0.108084493,1.160463518,2.764054074,6047.499095
glass-per-spiro_5,0.648438535,0.014407656,804.52771,1.541080523,1.269287048,-0.108936421,1.160350627,1.276985235,2787.448193
glass-per_1,0.649653538,0.037539248,809.08344,1.532403116,1.261199704,-0.084332507,1.176867197,1.167193071,2573.581199
glass-per_2,0.703402992,0.000372039,804.94189,1.540287566,1.268548011,-0.202881764,1.065666248,2.539916992,5117.70371
glass-per_3,0.652959186,0.032699704,807.84113,1.534759668,1.26339601,-0.087878622,1.175517389,0.86183816,1885.669139
glass-per_4,0.701550262,0.00227736,803.69916,1.542669255,1.270767746,-0.156332619,1.114435126,1.137855312,2292.686716
glass-per_5,0.65022945,0.000143634,803.69916,1.542669255,1.270767746,-0.227334158,1.043433588,1.007568359,2190.404638
