Sample,PLQY,Rad. limit Jsc (mA/cm2),Jrad0 (mA/cm2),Rad. limit of Voc (V),delta V (V),QFLS/q (V)
Ef_FIRA_L171,1.55E-02,25.1,4.31E-21,1.288,-0.107,1.181
Ef_FIRA_L175,7.80E-03,25.0,3.56E-21,1.292,-0.125,1.168
Ef_FIRA_L177,7.02E-03,25.1,3.53E-21,1.293,-0.127,1.165
Ef_FIRA_L179,1.03E-02,25.1,3.94E-21,1.290,-0.118,1.172
Ef_FIRA_L181,3.68E-03,24.8,3.54E-21,1.292,-0.144,1.148
Ef_HP_L158,2.19E-03,25.4,4.09E-21,1.289,-0.157,1.132
Ef_HP_L159,5.98E-03,24.9,3.52E-21,1.293,-0.132,1.161
Ef_HP_L168,2.46E-03,25.1,3.78E-21,1.291,-0.154,1.137
Ef_HP_L186,2.46E-03,24.9,3.82E-21,1.291,-0.154,1.136
Ef_HP_L187,1.22E-03,25.2,3.85E-21,1.291,-0.172,1.118
